date,source,market,code,name,shares,share_unit,close,industry,source_file
2026-08-21,akshare_fund_scale_daily_szse,SZ,158003,港股通医疗ETF嘉实,169654396.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,158006,化工ETF博时,41046012.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,158009,航空航天ETF南方,46373819.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,158012,云计算ETF南方,279325566.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159001,货币ETF易方达,31091972.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159003,招商快线ETF,2045097.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159005,快钱ETF汇添富,1133790.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159007,养殖ETF华泰柏瑞,190603274.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159008,证券ETF景顺,115284531.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159009,创业板新能源ETF易方达,59392703.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159010,港股通科技ETF博时,196097611.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159011,养殖ETF华安,28505168.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159012,科创创业50ETF鹏华,110881148.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159013,工业互联网ETF大成,40578881.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159015,恒生港股通科技ETF国联,110352934.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159016,证券ETF广发,384040154.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159017,石油ETF工银,152256813.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159018,石油ETF广发,26904203.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159019,石油ETF华宝,48327711.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159020,养殖ETF易方达,134567082.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159021,大盘价值ETF华夏,96907712.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159022,科创创业人工智能ETF富国,168630967.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159023,养殖ETF万家,37777943.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159026,石油ETF南方,45513446.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159027,畜牧养殖ETF大成,114472283.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159028,港股汽车ETF天弘,125449016.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159029,有色ETF广发,311127717.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159030,粮食ETF华夏,354968176.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159031,粮食ETF博时,552028624.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159032,工业有色ETF易方达,255845019.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159033,粮食ETF国泰,131323473.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159035,软件ETF天弘,589859726.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159036,软件开发ETF华宝,287740164.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159037,价值ETF鹏华,76249832.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159038,粮食ETF易方达,208026939.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159039,机器人ETF华安,954461422.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159040,港股通互联网ETF鹏华,35481087.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159041,农业ETF鹏华,67471832.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159042,价值ETF汇添富,103801105.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159045,稀有金属ETF大成,168330213.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159046,绿电ETF天弘,457476854.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159048,机器人ETF大成,199803897.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159049,有色ETF工银,42073319.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159050,机器人ETF广发,691703612.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159051,医疗器械ETF易方达,90117894.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159052,新能源电池ETF嘉实,194926092.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159053,稀有金属ETF华夏,163198132.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159055,稀有金属ETF富国,120293952.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159056,医疗器械ETF富国,73934358.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159057,医疗器械ETF鹏华,33715334.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159058,证券ETF大成,123331247.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159059,电力ETF大成,58830063.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159060,粮食ETF浦银,44483423.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159061,绿色电力ETF南方,219640230.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159062,稀有金属ETF南方,111701256.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159063,粮食ETF南方,58986647.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159065,工程机械ETF景顺,109350818.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159066,A股ETF建信,212733027.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159067,绿色电力ETF鹏华,20908737.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159068,软件ETF华夏,65336570.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159069,创业板新能源ETF华泰柏瑞,44770440.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159070,工程机械ETF嘉实,106366883.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159071,新能源电池ETF华宝,119911738.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159072,粮食ETF景顺,40285157.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159073,粮食ETF汇添富,174173864.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159075,工业互联网ETF华夏,180197165.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159076,创业板新能源ETF华宝,252373015.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159077,电池ETF鑫元,41242574.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159078,A股ETF富国,177262460.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159079,价值ETF兴全,108806830.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159082,化工ETF华夏,137531212.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159083,红利低波100ETF嘉实,244370472.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159085,价值ETF永赢,34535454.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159086,金融科技ETF广发,32399823.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159087,化工ETF万家,43992150.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159091,港股通金融ETF易方达,28374196.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159093,化工ETF汇添富,31681470.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159095,云计算ETF银华,232468139.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159098,价值ETF招商,166891589.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159099,云计算ETF华宝,110610546.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159100,巴西ETF华夏,468046935.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159101,港股通科技ETF华夏,2874311457.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159102,港股通生物科技ETF华安,668622004.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159103,金融科技ETF汇添富,323406771.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159105,恒生生物科技ETF易方达,185272984.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159106,民企300ETF前海开源,39579488.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159107,创业板软件ETF富国,776823006.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159108,工业软件ETF博时,122738511.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159109,恒生50ETF景顺,593163854.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159110,科创债ETF万家,22627093.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159111,科创债ETF天弘,144276676.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159112,科创债ETF银华,221587830.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159113,科创债ETF大成,86546237.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159115,科创债ETF华安,51493487.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159116,科创债ETF工银,113852743.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159117,港股通红利低波ETF鹏华,61401153.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159118,港股通红利低波ETF华夏,69677020.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159119,800现金流ETF招商,154054229.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159120,港股通科技ETF国联安,151024466.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159121,港股通汽车ETF易方达,145481127.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159122,创业板新能源ETF富国,67160935.0,份,,,akshare:szse_daily
2026-08-21,akshare_fund_scale_daily_szse,SZ,159123,光伏ETF嘉实,385047026.0,份,,,akshare:szse_daily
